time,open,high,low,close,tick_volume
2026-02-05 05:00:00+00:00,4881.7001953125,4923.7001953125,4842.0,4911.7998046875,0
2026-02-05 06:00:00+00:00,4914.10009765625,4951.89990234375,4893.0,4938.7998046875,5889
2026-02-05 07:00:00+00:00,4937.2001953125,4960.2001953125,4914.7001953125,4934.2998046875,6507
2026-02-05 08:00:00+00:00,4934.10009765625,4962.0,4921.39990234375,4934.0,5814
2026-02-05 09:00:00+00:00,4934.39990234375,4937.10009765625,4871.10009765625,4876.89990234375,9116
2026-02-05 10:00:00+00:00,4875.89990234375,4907.60009765625,4868.0,4897.89990234375,4913
2026-02-05 11:00:00+00:00,4896.7998046875,4915.5,4885.60009765625,4889.10009765625,4140
2026-02-05 12:00:00+00:00,4889.2998046875,4899.89990234375,4831.0,4876.2001953125,12916
2026-02-05 13:00:00+00:00,4876.10009765625,4893.10009765625,4822.0,4858.2001953125,14918
2026-02-05 14:00:00+00:00,4858.0,4891.10009765625,4827.2001953125,4867.7998046875,21283
2026-02-05 15:00:00+00:00,4866.5,4888.0,4820.7998046875,4838.60009765625,20830
2026-02-05 16:00:00+00:00,4837.7998046875,4930.0,4833.5,4912.0,16183
2026-02-05 17:00:00+00:00,4910.89990234375,4913.2998046875,4881.5,4891.5,7495
2026-02-05 18:00:00+00:00,4891.39990234375,4898.39990234375,4872.7998046875,4880.39990234375,8473
2026-02-05 19:00:00+00:00,4881.2001953125,4889.0,4847.0,4852.5,5456
2026-02-05 20:00:00+00:00,4853.0,4866.2001953125,4814.60009765625,4833.60009765625,8194
2026-02-05 21:00:00+00:00,4833.2001953125,4848.5,4779.60009765625,4798.10009765625,8870
2026-02-05 23:00:00+00:00,4800.0,4815.89990234375,4721.2001953125,4722.0,0
2026-02-06 00:00:00+00:00,4722.0,4781.7001953125,4670.0,4779.89990234375,17110
2026-02-06 01:00:00+00:00,4779.10009765625,4803.39990234375,4710.0,4792.10009765625,11834
2026-02-06 02:00:00+00:00,4792.7001953125,4863.5,4777.7998046875,4833.5,10104
2026-02-06 03:00:00+00:00,4832.5,4856.39990234375,4816.7001953125,4841.10009765625,4063
2026-02-06 04:00:00+00:00,4842.0,4848.89990234375,4823.89990234375,4831.89990234375,1665
2026-02-06 05:00:00+00:00,4830.39990234375,4916.2001953125,4824.5,4915.2998046875,7342
2026-02-06 06:00:00+00:00,4916.2998046875,4921.60009765625,4841.0,4865.60009765625,7624
2026-02-06 07:00:00+00:00,4865.0,4881.89990234375,4856.7998046875,4862.2998046875,4156
2026-02-06 08:00:00+00:00,4861.60009765625,4904.5,4849.5,4884.7998046875,5998
2026-02-06 09:00:00+00:00,4884.10009765625,4896.5,4862.2001953125,4889.5,4583
2026-02-06 10:00:00+00:00,4888.0,4901.7001953125,4872.60009765625,4899.89990234375,3696
2026-02-06 11:00:00+00:00,4899.7001953125,4918.7001953125,4885.60009765625,4909.10009765625,4559
2026-02-06 12:00:00+00:00,4910.10009765625,4926.0,4892.0,4921.7001953125,7041
2026-02-06 13:00:00+00:00,4922.0,4961.0,4918.2001953125,4951.0,11464
2026-02-06 14:00:00+00:00,4951.7001953125,4973.7001953125,4916.2001953125,4972.5,14712
2026-02-06 15:00:00+00:00,4970.7998046875,4988.7998046875,4951.2001953125,4967.60009765625,12299
2026-02-06 16:00:00+00:00,4967.7998046875,4978.0,4945.0,4975.2998046875,7501
2026-02-06 17:00:00+00:00,4975.2998046875,4992.89990234375,4972.2001953125,4984.2998046875,7007
2026-02-06 18:00:00+00:00,4984.7998046875,4995.60009765625,4967.89990234375,4986.2998046875,7843
2026-02-06 19:00:00+00:00,4986.2998046875,4987.0,4971.7998046875,4980.7001953125,3083
2026-02-06 20:00:00+00:00,4980.39990234375,4983.0,4960.39990234375,4977.2001953125,4524
